store_id,name,store_type,status,latitude,longitude,address_street,address_city,address_state,address_postal_code,address_country,phone,services,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
S0001,Minneapolis Store,outlet,active,44.9335,-93.2612,22 Second St,Minneapolis,MN,55401,USA,954-930-2631,pickup|optical|garden_center|returns,09:00-23:00,06:00-20:00,10:00-22:00,10:00-23:00,10:00-24:00,07:00-24:00,06:00-21:00
S0002,St. Paul Store,outlet,active,44.983,-93.0466,269 Second St,St. Paul,MN,55101,USA,599-288-6878,garden_center|returns,07:00-23:00,09:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,10:00-23:00,09:00-20:00
S0003,St. Paul Store,outlet,active,44.9626,-93.1268,659 Park St,St. Paul,MN,55101,USA,224-483-7438,pickup|automotive|optical,08:00-23:00,07:00-22:00,06:00-22:00,09:00-24:00,10:00-21:00,09:00-23:00,09:00-23:00
S0004,St. Paul Store,regular,active,44.9731,-93.0534,86 Elm St,St. Paul,MN,55101,USA,210-424-6380,returns|photo_printing,09:00-23:00,08:00-21:00,closed,06:00-24:00,07:00-20:00,10:00-20:00,09:00-24:00
S0005,St. Paul Store,regular,active,44.9808,-93.1037,877 Oak St,St. Paul,MN,55101,USA,961-503-7082,pickup|gift_wrapping|automotive,07:00-21:00,10:00-24:00,08:00-23:00,10:00-20:00,10:00-22:00,07:00-24:00,09:00-20:00
S0006,St. Paul Store,regular,active,44.8996,-93.1271,140 Market St,St. Paul,MN,55101,USA,669-438-9027,pharmacy|automotive|returns|optical|pickup,06:00-21:00,08:00-20:00,06:00-24:00,07:00-24:00,08:00-21:00,06:00-23:00,06:00-24:00
S0007,St. Paul Store,regular,active,44.9825,-93.0835,17 Elm St,St. Paul,MN,55101,USA,671-298-8433,pickup|gift_wrapping,08:00-23:00,08:00-23:00,08:00-23:00,10:00-24:00,09:00-22:00,09:00-22:00,10:00-23:00
S0008,Minneapolis Store,regular,active,44.9577,-93.3228,481 Third St,Minneapolis,MN,55401,USA,595-244-6030,optical|automotive|gift_wrapping|pickup,09:00-24:00,07:00-22:00,06:00-24:00,08:00-21:00,08:00-24:00,10:00-22:00,10:00-24:00
S0009,Minneapolis Store,regular,active,44.9332,-93.2981,46 Broadway St,Minneapolis,MN,55401,USA,485-388-6449,photo_printing|optical|returns|gift_wrapping|automotive,closed,07:00-22:00,08:00-24:00,08:00-21:00,09:00-21:00,09:00-21:00,08:00-21:00
S0010,St. Paul Store,regular,active,44.9782,-93.0841,10 Broadway St,St. Paul,MN,55101,USA,674-562-1131,automotive|garden_center|gift_wrapping|photo_printing,10:00-20:00,07:00-20:00,09:00-20:00,08:00-20:00,10:00-20:00,10:00-22:00,10:00-23:00
S0011,Minneapolis Store,flagship,active,44.9943,-93.2903,270 Park St,Minneapolis,MN,55401,USA,707-853-8529,automotive|garden_center|returns|photo_printing|gift_wrapping,06:00-20:00,07:00-21:00,10:00-24:00,08:00-21:00,07:00-24:00,07:00-21:00,10:00-23:00
S0012,Minneapolis Store,regular,active,44.9135,-93.3275,492 Market St,Minneapolis,MN,55401,USA,830-833-5100,optical|garden_center|gift_wrapping|photo_printing|pickup,09:00-20:00,08:00-20:00,09:00-21:00,10:00-20:00,10:00-20:00,06:00-20:00,08:00-22:00
S0013,Minneapolis Store,regular,active,44.9719,-93.326,624 Washington St,Minneapolis,MN,55401,USA,498-936-9220,photo_printing|pharmacy|automotive,10:00-21:00,07:00-21:00,07:00-20:00,08:00-21:00,10:00-20:00,08:00-20:00,08:00-24:00
S0014,Minneapolis Store,outlet,active,44.9533,-93.272,186 Park St,Minneapolis,MN,55401,USA,775-229-6193,pickup|optical|garden_center|gift_wrapping,10:00-21:00,10:00-22:00,07:00-22:00,07:00-20:00,06:00-23:00,09:00-22:00,06:00-24:00
S0015,St. Paul Store,regular,active,44.9043,-93.0579,124 Second St,St. Paul,MN,55101,USA,208-460-6973,pickup|pharmacy,09:00-24:00,08:00-24:00,closed,07:00-21:00,08:00-23:00,08:00-21:00,07:00-22:00
S0016,Minneapolis Store,regular,active,44.9603,-93.2441,780 Broadway St,Minneapolis,MN,55401,USA,259-384-4786,pickup|pharmacy|gift_wrapping|garden_center|optical,08:00-21:00,08:00-20:00,07:00-23:00,08:00-22:00,07:00-21:00,07:00-22:00,10:00-23:00
S0017,Minneapolis Store,outlet,active,44.999,-93.2424,218 Second St,Minneapolis,MN,55401,USA,818-645-5861,automotive|photo_printing|optical|garden_center|pickup,06:00-21:00,06:00-24:00,08:00-21:00,08:00-23:00,09:00-21:00,09:00-22:00,09:00-24:00
S0018,Minneapolis Store,outlet,active,44.9485,-93.2436,189 Elm St,Minneapolis,MN,55401,USA,265-853-4348,automotive|pickup|gift_wrapping|garden_center|photo_printing,06:00-22:00,06:00-24:00,08:00-24:00,10:00-20:00,08:00-23:00,08:00-23:00,10:00-20:00
S0019,Minneapolis Store,regular,active,44.965,-93.2908,740 Market St,Minneapolis,MN,55401,USA,740-322-7959,gift_wrapping|pickup,10:00-24:00,07:00-22:00,07:00-23:00,06:00-22:00,07:00-24:00,07:00-21:00,10:00-24:00
S0020,St. Paul Store,regular,active,44.9892,-93.118,3 Elm St,St. Paul,MN,55101,USA,826-422-7174,photo_printing|automotive|gift_wrapping|garden_center,09:00-21:00,10:00-24:00,08:00-23:00,08:00-22:00,closed,09:00-24:00,09:00-24:00
S0021,Minneapolis Store,regular,active,44.9927,-93.3183,313 Oak St,Minneapolis,MN,55401,USA,330-399-5907,pickup|automotive|optical|returns|pharmacy,08:00-23:00,09:00-22:00,10:00-22:00,10:00-20:00,09:00-23:00,07:00-21:00,08:00-24:00
S0022,Minneapolis Store,outlet,active,44.9892,-93.2421,296 Oak St,Minneapolis,MN,55401,USA,707-963-2307,optical|pharmacy|gift_wrapping,07:00-21:00,07:00-24:00,07:00-20:00,09:00-21:00,09:00-24:00,10:00-20:00,07:00-21:00
S0023,Minneapolis Store,express,active,44.9706,-93.277,858 Oak St,Minneapolis,MN,55401,USA,822-764-9812,automotive|pickup|returns|gift_wrapping,09:00-22:00,06:00-21:00,08:00-24:00,10:00-21:00,closed,09:00-21:00,10:00-21:00
S0024,Minneapolis Store,regular,active,44.9884,-93.3039,20 Third St,Minneapolis,MN,55401,USA,357-216-5641,automotive|photo_printing|gift_wrapping|pharmacy,08:00-20:00,08:00-22:00,08:00-24:00,09:00-20:00,06:00-22:00,08:00-24:00,08:00-21:00
S0025,St. Paul Store,express,active,44.9414,-93.0969,133 Broadway St,St. Paul,MN,55101,USA,418-931-5196,gift_wrapping|garden_center|photo_printing,07:00-21:00,08:00-24:00,06:00-20:00,07:00-24:00,06:00-22:00,10:00-20:00,10:00-22:00
S0026,Minneapolis Store,outlet,active,44.9547,-93.2658,992 Elm St,Minneapolis,MN,55401,USA,267-674-7735,automotive|pharmacy|returns|optical,06:00-22:00,07:00-22:00,08:00-24:00,06:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00
S0027,St. Paul Store,regular,active,44.971,-93.1161,467 Broadway St,St. Paul,MN,55101,USA,921-303-1991,gift_wrapping|pharmacy|returns|garden_center|photo_printing,06:00-23:00,07:00-24:00,06:00-20:00,08:00-24:00,09:00-24:00,10:00-20:00,06:00-21:00
S0028,St. Paul Store,regular,active,44.9516,-93.0875,651 Third St,St. Paul,MN,55101,USA,996-898-3531,optical|automotive|pickup|photo_printing|garden_center,closed,10:00-21:00,06:00-20:00,07:00-23:00,07:00-22:00,07:00-20:00,09:00-24:00
S0029,St. Paul Store,regular,active,44.9161,-93.1051,708 Main St,St. Paul,MN,55101,USA,859-556-4465,gift_wrapping|photo_printing|pharmacy,07:00-22:00,10:00-21:00,closed,08:00-21:00,closed,10:00-21:00,07:00-24:00
S0030,St. Paul Store,outlet,active,44.9032,-93.1166,754 Oak St,St. Paul,MN,55101,USA,721-773-9227,garden_center|pickup|optical|pharmacy|photo_printing,09:00-21:00,06:00-24:00,07:00-20:00,08:00-20:00,06:00-22:00,09:00-23:00,08:00-22:00
S0031,Minneapolis Store,flagship,active,44.9846,-93.2695,16 Park St,Minneapolis,MN,55401,USA,841-877-8451,returns|optical|photo_printing|gift_wrapping,08:00-21:00,07:00-24:00,07:00-21:00,09:00-23:00,07:00-20:00,09:00-21:00,10:00-24:00
